day	hour	value	img
1	1	0	jrnl/2019_Mo.png
1	2	0	jrnl/2019_Mo.png
1	3	0	jrnl/2019_Mo.png
1	4	20	jrnl/2019_Mo.png
1	5	60	jrnl/2019_Mo.png
1	6	0	jrnl/2019_Mo.png
1	7	60	jrnl/2019_Mo.png
1	8	20	jrnl/2019_Mo.png
1	9	60	jrnl/2019_Mo.png
1	10	60	jrnl/2019_Mo.png
1	11	60	jrnl/2019_Mo.png
1	12	60	jrnl/2019_Mo.png
1	13	60	jrnl/2019_Mo.png
1	14	60	jrnl/2019_Mo.png
1	15	60	jrnl/2019_Mo.png
1	16	60	jrnl/2019_Mo.png
1	17	60	jrnl/2019_Mo.png
1	18	60	jrnl/2019_Mo.png
1	19	20	jrnl/2019_Mo.png
1	20	20	jrnl/2019_Mo.png
1	21	0	jrnl/2019_Mo.png
1	22	0	jrnl/2019_Mo.png
1	23	0	jrnl/2019_Mo.png
1	24	60	jrnl/2019_Mo.png
2	1	6	jrnl/2019_Tu.png
2	2	2	jrnl/2019_Tu.png
2	3	0	jrnl/2019_Tu.png
2	4	0	jrnl/2019_Tu.png
2	5	0	jrnl/2019_Tu.png
2	6	2	jrnl/2019_Tu.png
2	7	4	jrnl/2019_Tu.png
2	8	11	jrnl/2019_Tu.png
2	9	28	jrnl/2019_Tu.png
2	10	49	jrnl/2019_Tu.png
2	11	51	jrnl/2019_Tu.png
2	12	47	jrnl/2019_Tu.png
2	13	38	jrnl/2019_Tu.png
2	14	65	jrnl/2019_Tu.png
2	15	60	jrnl/2019_Tu.png
2	16	50	jrnl/2019_Tu.png
2	17	65	jrnl/2019_Tu.png
2	18	50	jrnl/2019_Tu.png
2	19	22	jrnl/2019_Tu.png
2	20	11	jrnl/2019_Tu.png
2	21	12	jrnl/2019_Tu.png
2	22	9	jrnl/2019_Tu.png
2	23	0	jrnl/2019_Tu.png
2	24	13	jrnl/2019_Tu.png
3	1	5	jrnl/2019_We.png
3	2	8	jrnl/2019_We.png
3	3	8	jrnl/2019_We.png
3	4	0	jrnl/2019_We.png
3	5	0	jrnl/2019_We.png
3	6	2	jrnl/2019_We.png
3	7	5	jrnl/2019_We.png
3	8	12	jrnl/2019_We.png
3	9	34	jrnl/2019_We.png
3	10	43	jrnl/2019_We.png
3	11	54	jrnl/2019_We.png
3	12	44	jrnl/2019_We.png
3	13	40	jrnl/2019_We.png
3	14	48	jrnl/2019_We.png
3	15	54	jrnl/2019_We.png
3	16	59	jrnl/2019_We.png
3	17	60	jrnl/2019_We.png
3	18	51	jrnl/2019_We.png
3	19	21	jrnl/2019_We.png
3	20	16	jrnl/2019_We.png
3	21	9	jrnl/2019_We.png
3	22	5	jrnl/2019_We.png
3	23	4	jrnl/2019_We.png
3	24	7	jrnl/2019_We.png
4	1	0	jrnl/2019_Th.png
4	2	0	jrnl/2019_Th.png
4	3	0	jrnl/2019_Th.png
4	4	0	jrnl/2019_Th.png
4	5	0	jrnl/2019_Th.png
4	6	2	jrnl/2019_Th.png
4	7	4	jrnl/2019_Th.png
4	8	13	jrnl/2019_Th.png
4	9	26	jrnl/2019_Th.png
4	10	58	jrnl/2019_Th.png
4	11	61	jrnl/2019_Th.png
4	12	59	jrnl/2019_Th.png
4	13	53	jrnl/2019_Th.png
4	14	54	jrnl/2019_Th.png
4	15	64	jrnl/2019_Th.png
4	16	55	jrnl/2019_Th.png
4	17	52	jrnl/2019_Th.png
4	18	53	jrnl/2019_Th.png
4	19	18	jrnl/2019_Th.png
4	20	3	jrnl/2019_Th.png
4	21	9	jrnl/2019_Th.png
4	22	12	jrnl/2019_Th.png
4	23	2	jrnl/2019_Th.png
4	24	8	jrnl/2019_Th.png
5	1	2	jrnl/2019_Fr.png
5	2	0	jrnl/2019_Fr.png
5	3	8	jrnl/2019_Fr.png
5	4	2	jrnl/2019_Fr.png
5	5	0	jrnl/2019_Fr.png
5	6	2	jrnl/2019_Fr.png
5	7	4	jrnl/2019_Fr.png
5	8	14	jrnl/2019_Fr.png
5	9	31	jrnl/2019_Fr.png
5	10	48	jrnl/2019_Fr.png
5	11	46	jrnl/2019_Fr.png
5	12	50	jrnl/2019_Fr.png
5	13	66	jrnl/2019_Fr.png
5	14	54	jrnl/2019_Fr.png
5	15	56	jrnl/2019_Fr.png
5	16	67	jrnl/2019_Fr.png
5	17	54	jrnl/2019_Fr.png
5	18	23	jrnl/2019_Fr.png
5	19	14	jrnl/2019_Fr.png
5	20	6	jrnl/2019_Fr.png
5	21	8	jrnl/2019_Fr.png
5	22	7	jrnl/2019_Fr.png
5	23	0	jrnl/2019_Fr.png
5	24	8	jrnl/2019_Fr.png
6	1	2	jrnl/2019_Sa.png
6	2	0	jrnl/2019_Sa.png
6	3	2	jrnl/2019_Sa.png
6	4	0	jrnl/2019_Sa.png
6	5	0	jrnl/2019_Sa.png
6	6	0	jrnl/2019_Sa.png
6	7	4	jrnl/2019_Sa.png
6	8	8	jrnl/2019_Sa.png
6	9	8	jrnl/2019_Sa.png
6	10	6	jrnl/2019_Sa.png
6	11	14	jrnl/2019_Sa.png
6	12	12	jrnl/2019_Sa.png
6	13	9	jrnl/2019_Sa.png
6	14	14	jrnl/2019_Sa.png
6	15	0	jrnl/2019_Sa.png
6	16	4	jrnl/2019_Sa.png
6	17	7	jrnl/2019_Sa.png
6	18	6	jrnl/2019_Sa.png
6	19	0	jrnl/2019_Sa.png
6	20	0	jrnl/2019_Sa.png
6	21	0	jrnl/2019_Sa.png
6	22	0	jrnl/2019_Sa.png
6	23	0	jrnl/2019_Sa.png
6	24	0	jrnl/2019_Sa.png
7	1	0	jrnl/2019_Su.png
7	2	0	jrnl/2019_Su.png
7	3	0	jrnl/2019_Su.png
7	4	0	jrnl/2019_Su.png
7	5	20	jrnl/2019_Su.png
7	6	60	jrnl/2019_Su.png
7	7	10	jrnl/2019_Su.png
7	8	0	jrnl/2019_Su.png
7	9	0	jrnl/2019_Su.png
7	10	0	jrnl/2019_Su.png
7	11	2	jrnl/2019_Su.png
7	12	40	jrnl/2019_Su.png
7	13	0	jrnl/2019_Su.png
7	14	0	jrnl/2019_Su.png
7	15	20	jrnl/2019_Su.png
7	16	20	jrnl/2019_Su.png
7	17	0	jrnl/2019_Su.png
7	18	0	jrnl/2019_Su.png
7	19	10	jrnl/2019_Su.png
7	20	7	jrnl/2019_Su.png
7	21	0	jrnl/2019_Su.png
7	22	60	jrnl/2019_Su.png
7	23	60	jrnl/2019_Su.png
7	24	60	jrnl/2019_Su.png
