day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	10
1	7	60
1	8	60
1	9	60
1	10	60
1	11	60
1	12	60
1	13	60
1	14	60
1	15	60
1	16	60
1	17	60
1	18	60
1	19	60
1	20	60
1	21	60
1	22	60
1	23	60
1	24	60
2	1	60
2	2	60
2	3	30
2	4	0
2	5	0
2	6	20
2	7	60
2	8	60
2	9	60
2	10	60
2	11	60
2	12	60
2	13	60
2	14	60
2	15	60
2	16	60
2	17	60
2	18	60
2	19	20
2	20	0
2	21	0
2	22	60
2	23	60
2	24	60
3	1	60
3	2	60
3	3	0
3	4	0
3	5	0
3	6	30
3	7	60
3	8	60
3	9	60
3	10	60
3	11	60
3	12	60
3	13	60
3	14	60
3	15	60
3	16	60
3	17	0
3	18	30
3	19	60
3	20	30
3	21	0
3	22	0
3	23	60
3	24	60
4	1	60
4	2	30
4	3	0
4	4	0
4	5	0
4	6	40
4	7	60
4	8	60
4	9	60
4	10	60
4	11	60
4	12	60
4	13	60
4	14	60
4	15	60
4	16	60
4	17	60
4	18	60
4	19	20
4	20	0
4	21	0
4	22	30
4	23	60
4	24	60
5	1	60
5	2	30
5	3	0
5	4	0
5	5	0
5	6	20
5	7	60
5	8	60
5	9	60
5	10	60
5	11	60
5	12	60
5	13	60
5	14	60
5	15	60
5	16	30
5	17	60
5	18	60
5	19	60
5	20	60
5	21	60
5	22	60
5	23	60
5	24	60
6	1	60
6	2	0
6	3	0
6	4	0
6	5	0
6	6	40
6	7	60
6	8	60
6	9	30
6	10	0
6	11	0
6	12	0
6	13	30
6	14	60
6	15	20
6	16	0
6	17	0
6	18	0
6	19	0
6	20	30
6	21	60
6	22	30
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	30
7	7	60
7	8	60
7	9	60
7	10	60
7	11	30
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	10
7	20	30
7	21	60
7	22	60
7	23	60
7	24	60
